"","station_id","stationname","date","daytype","rides"
"1045001",41330,"Montrose-O'Hare","01/23/2021","A",198
"1045002",41330,"Montrose-O'Hare","01/24/2021","U",155
"1045003",41330,"Montrose-O'Hare","01/25/2021","W",313
"1045004",41330,"Montrose-O'Hare","01/26/2021","W",283
"1045005",41330,"Montrose-O'Hare","01/27/2021","W",307
"1045006",41330,"Montrose-O'Hare","01/28/2021","W",299
"1045007",41330,"Montrose-O'Hare","01/29/2021","W",314
"1045008",41330,"Montrose-O'Hare","01/30/2021","A",187
"1045009",41330,"Montrose-O'Hare","01/31/2021","U",132
"1045010",41340,"LaSalle","01/01/2021","U",147
"1045011",41340,"LaSalle","01/02/2021","A",252
"1045012",41340,"LaSalle","01/03/2021","U",216
"1045013",41340,"LaSalle","01/04/2021","W",358
"1045014",41340,"LaSalle","01/05/2021","W",404
"1045015",41340,"LaSalle","01/06/2021","W",410
"1045016",41340,"LaSalle","01/07/2021","W",430
"1045017",41340,"LaSalle","01/08/2021","W",392
"1045018",41340,"LaSalle","01/09/2021","A",253
"1045019",41340,"LaSalle","01/10/2021","U",189
"1045020",41340,"LaSalle","01/11/2021","W",409
"1045021",41340,"LaSalle","01/12/2021","W",413
"1045022",41340,"LaSalle","01/13/2021","W",438
"1045023",41340,"LaSalle","01/14/2021","W",423
"1045024",41340,"LaSalle","01/15/2021","W",421
"1045025",41340,"LaSalle","01/16/2021","A",267
"1045026",41340,"LaSalle","01/17/2021","U",194
"1045027",41340,"LaSalle","01/18/2021","W",325
"1045028",41340,"LaSalle","01/19/2021","W",408
"1045029",41340,"LaSalle","01/20/2021","W",353
"1045030",41340,"LaSalle","01/21/2021","W",440
"1045031",41340,"LaSalle","01/22/2021","W",465
"1045032",41340,"LaSalle","01/23/2021","A",300
"1045033",41340,"LaSalle","01/24/2021","U",262
"1045034",41340,"LaSalle","01/25/2021","W",411
"1045035",41340,"LaSalle","01/26/2021","W",433
"1045036",41340,"LaSalle","01/27/2021","W",431
"1045037",41340,"LaSalle","01/28/2021","W",399
"1045038",41340,"LaSalle","01/29/2021","W",468
"1045039",41340,"LaSalle","01/30/2021","A",321
"1045040",41340,"LaSalle","01/31/2021","U",204
"1045041",41350,"Oak Park-Lake","01/01/2021","U",104
"1045042",41350,"Oak Park-Lake","01/02/2021","A",154
"1045043",41350,"Oak Park-Lake","01/03/2021","U",115
"1045044",41350,"Oak Park-Lake","01/04/2021","W",232
"1045045",41350,"Oak Park-Lake","01/05/2021","W",242
"1045046",41350,"Oak Park-Lake","01/06/2021","W",249
"1045047",41350,"Oak Park-Lake","01/07/2021","W",214
"1045048",41350,"Oak Park-Lake","01/08/2021","W",251
"1045049",41350,"Oak Park-Lake","01/09/2021","A",174
"1045050",41350,"Oak Park-Lake","01/10/2021","U",95
"1045051",41350,"Oak Park-Lake","01/11/2021","W",210
"1045052",41350,"Oak Park-Lake","01/12/2021","W",251
"1045053",41350,"Oak Park-Lake","01/13/2021","W",252
